"","Id","LotArea","Street","LotShape","LandContour","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","Foundation","TotalBsmtSF","Heating","CentralAir","Electrical","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageArea","MoSold","YrSold","SalePrice"
"1",1,8450,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","2Story",7,5,2003,"Gable","PConc",856,"GasA","Y","SBrkr",1710,2,1,3,1,"Gd",8,0,"Attchd",548,2,2008,"1"
"2",2,9600,"Pave","Reg","Lvl","AllPub","Veenker","1Fam","1Story",6,8,1976,"Gable","CBlock",1262,"GasA","Y","SBrkr",1262,2,0,3,1,"TA",6,1,"Attchd",460,5,2007,"1"
"3",3,11250,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","2Story",7,5,2001,"Gable","PConc",920,"GasA","Y","SBrkr",1786,2,1,3,1,"Gd",6,1,"Attchd",608,9,2008,"1"
"4",4,9550,"Pave","IR1","Lvl","AllPub","Crawfor","1Fam","2Story",7,5,1915,"Gable","BrkTil",756,"GasA","Y","SBrkr",1717,1,0,3,1,"Gd",7,1,"Detchd",642,2,2006,"0"
"5",5,14260,"Pave","IR1","Lvl","AllPub","NoRidge","1Fam","2Story",8,5,2000,"Gable","PConc",1145,"GasA","Y","SBrkr",2198,2,1,4,1,"Gd",9,1,"Attchd",836,12,2008,"1"
"6",6,14115,"Pave","IR1","Lvl","AllPub","Mitchel","1Fam","1.5Fin",5,5,1993,"Gable","Wood",796,"GasA","Y","SBrkr",1362,1,1,1,1,"TA",5,0,"Attchd",480,10,2009,"0"
"7",7,10084,"Pave","Reg","Lvl","AllPub","Somerst","1Fam","1Story",8,5,2004,"Gable","PConc",1686,"GasA","Y","SBrkr",1694,2,0,3,1,"Gd",7,1,"Attchd",636,8,2007,"1"
"8",8,10382,"Pave","IR1","Lvl","AllPub","NWAmes","1Fam","2Story",7,6,1973,"Gable","CBlock",1107,"GasA","Y","SBrkr",2090,2,1,3,1,"TA",7,2,"Attchd",484,11,2009,"1"
"9",9,6120,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","1.5Fin",7,5,1931,"Gable","BrkTil",952,"GasA","Y","FuseF",1774,2,0,2,2,"TA",8,2,"Detchd",468,4,2008,"0"
"10",10,7420,"Pave","Reg","Lvl","AllPub","BrkSide","2fmCon","1.5Unf",5,6,1939,"Gable","BrkTil",991,"GasA","Y","SBrkr",1077,1,0,2,2,"TA",5,2,"Attchd",205,1,2008,"0"
"11",11,11200,"Pave","Reg","Lvl","AllPub","Sawyer","1Fam","1Story",5,5,1965,"Hip","CBlock",1040,"GasA","Y","SBrkr",1040,1,0,3,1,"TA",5,0,"Detchd",384,2,2008,"0"
"12",12,11924,"Pave","IR1","Lvl","AllPub","NridgHt","1Fam","2Story",9,5,2005,"Hip","PConc",1175,"GasA","Y","SBrkr",2324,3,0,4,1,"Ex",11,2,"BuiltIn",736,7,2006,"1"
"13",13,12968,"Pave","IR2","Lvl","AllPub","Sawyer","1Fam","1Story",5,6,1962,"Hip","CBlock",912,"GasA","Y","SBrkr",912,1,0,2,1,"TA",4,0,"Detchd",352,9,2008,"0"
"14",14,10652,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","1Story",7,5,2006,"Gable","PConc",1494,"GasA","Y","SBrkr",1494,2,0,3,1,"Gd",7,1,"Attchd",840,8,2007,"1"
"15",15,10920,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",6,5,1960,"Hip","CBlock",1253,"GasA","Y","SBrkr",1253,1,1,2,1,"TA",5,1,"Attchd",352,5,2008,"0"
"16",16,6120,"Pave","Reg","Lvl","AllPub","BrkSide","1Fam","1.5Unf",7,8,1929,"Gable","BrkTil",832,"GasA","Y","FuseA",854,1,0,2,1,"TA",5,0,"Detchd",576,7,2007,"0"
"17",17,11241,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",6,7,1970,"Gable","CBlock",1004,"GasA","Y","SBrkr",1004,1,0,2,1,"TA",5,1,"Attchd",480,3,2010,"0"
"18",18,10791,"Pave","Reg","Lvl","AllPub","Sawyer","Duplex","1Story",4,5,1967,"Gable","Slab",0,"GasA","Y","SBrkr",1296,2,0,2,2,"TA",6,0,"CarPort",516,10,2006,"0"
"19",19,13695,"Pave","Reg","Lvl","AllPub","SawyerW","1Fam","1Story",5,5,2004,"Gable","PConc",1114,"GasA","Y","SBrkr",1114,1,1,3,1,"Gd",6,0,"Detchd",576,6,2008,"0"
"20",20,7560,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,6,1958,"Hip","CBlock",1029,"GasA","Y","SBrkr",1339,1,0,3,1,"TA",6,0,"Attchd",294,5,2009,"0"
"21",21,14215,"Pave","IR1","Lvl","AllPub","NridgHt","1Fam","2Story",8,5,2005,"Gable","PConc",1158,"GasA","Y","SBrkr",2376,3,1,4,1,"Gd",9,1,"BuiltIn",853,11,2006,"1"
"22",22,7449,"Pave","Reg","Bnk","AllPub","IDOTRR","1Fam","1.5Unf",7,7,1930,"Gable","PConc",637,"GasA","Y","FuseF",1108,1,0,3,1,"Gd",6,1,"Attchd",280,6,2007,"0"
"23",23,9742,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","1Story",8,5,2002,"Hip","PConc",1777,"GasA","Y","SBrkr",1795,2,0,3,1,"Gd",7,1,"Attchd",534,9,2008,"1"
"24",24,4224,"Pave","Reg","Lvl","AllPub","MeadowV","TwnhsE","1Story",5,7,1976,"Gable","PConc",1040,"GasA","Y","SBrkr",1060,1,0,3,1,"TA",6,1,"Attchd",572,6,2007,"0"
"25",25,8246,"Pave","IR1","Lvl","AllPub","Sawyer","1Fam","1Story",5,8,1968,"Gable","CBlock",1060,"GasA","Y","SBrkr",1060,1,0,3,1,"Gd",6,1,"Attchd",270,5,2010,"0"
"26",26,14230,"Pave","Reg","Lvl","AllPub","NridgHt","1Fam","1Story",8,5,2007,"Gable","PConc",1566,"GasA","Y","SBrkr",1600,2,0,3,1,"Gd",7,1,"Attchd",890,7,2009,"1"
